,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.553258691157136
1,0,Train dataset,Jaccard Index,0.5791608635510239
2,0,Test dataset,Loss,0.5220360630436948
3,0,Test dataset,Jaccard Index,0.5642178889952207
4,1,Train dataset,Loss,0.4594124597366725
5,1,Train dataset,Jaccard Index,0.6511424679622472
6,1,Test dataset,Loss,0.46171483711192485
7,1,Test dataset,Jaccard Index,0.6726542491661874
8,2,Train dataset,Loss,0.41043373635996167
9,2,Train dataset,Jaccard Index,0.6897703019258018
10,2,Test dataset,Loss,0.44137923027339737
11,2,Test dataset,Jaccard Index,0.6731413634199845
12,3,Train dataset,Loss,0.38629394658258026
13,3,Train dataset,Jaccard Index,0.7092065343232913
14,3,Test dataset,Loss,0.4560614902722208
15,3,Test dataset,Jaccard Index,0.6972663371186507
16,4,Train dataset,Loss,0.3680390888285414
17,4,Train dataset,Jaccard Index,0.7235247091712239
18,4,Test dataset,Loss,0.45716261079436854
19,4,Test dataset,Jaccard Index,0.6927691352994818
20,5,Train dataset,Loss,0.35552517373428166
21,5,Train dataset,Jaccard Index,0.7337986453671321
22,5,Test dataset,Loss,0.39216263200107376
23,5,Test dataset,Jaccard Index,0.7231033287550274
24,6,Train dataset,Loss,0.3402059124173405
25,6,Train dataset,Jaccard Index,0.7460191790188584
26,6,Test dataset,Loss,0.39013722068385076
27,6,Test dataset,Jaccard Index,0.7203798294067383
28,7,Train dataset,Loss,0.32736787770953135
29,7,Train dataset,Jaccard Index,0.7544219833668148
30,7,Test dataset,Loss,0.37992908766395167
31,7,Test dataset,Jaccard Index,0.7216992315493131
32,8,Train dataset,Loss,0.31801093488096077
33,8,Train dataset,Jaccard Index,0.7635640947618217
34,8,Test dataset,Loss,0.381566301772469
35,8,Test dataset,Jaccard Index,0.7429717559563486
36,9,Train dataset,Loss,0.3104748728676377
37,9,Train dataset,Jaccard Index,0.7683209526204617
38,9,Test dataset,Loss,0.35966820309036657
39,9,Test dataset,Jaccard Index,0.7529338221800955
40,10,Train dataset,Loss,0.29998795298215386
41,10,Train dataset,Jaccard Index,0.7765938472524981
42,10,Test dataset,Loss,0.34474441095402364
43,10,Test dataset,Jaccard Index,0.7610871697727003
44,11,Train dataset,Loss,0.2946031464037494
45,11,Train dataset,Jaccard Index,0.7804295838436234
46,11,Test dataset,Loss,0.34607801311894465
47,11,Test dataset,Jaccard Index,0.7657985279434606
48,12,Train dataset,Loss,0.28567683961346885
49,12,Train dataset,Jaccard Index,0.7873245772914351
50,12,Test dataset,Loss,0.328631928092555
51,12,Test dataset,Jaccard Index,0.7772535713095414
52,13,Train dataset,Loss,0.2799585330709119
53,13,Train dataset,Jaccard Index,0.7917351611306734
54,13,Test dataset,Loss,0.3522486043603797
55,13,Test dataset,Jaccard Index,0.7721063557424044
56,14,Train dataset,Loss,0.27700754944409167
57,14,Train dataset,Jaccard Index,0.7945578649779347
58,14,Test dataset,Loss,0.3315535234777551
59,14,Test dataset,Jaccard Index,0.7746750084977401
