,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.3430720390838997
1,0,Train dataset,Jaccard Index,0.7891291424492809
2,0,Test dataset,Loss,0.2460072448379115
3,0,Test dataset,Jaccard Index,0.853986238178454
4,1,Train dataset,Loss,0.17432641523463704
5,1,Train dataset,Jaccard Index,0.89514466089623
6,1,Test dataset,Loss,0.14046852408271088
7,1,Test dataset,Jaccard Index,0.9154330366536191
8,2,Train dataset,Loss,0.1258006720481632
9,2,Train dataset,Jaccard Index,0.9197015762329102
10,2,Test dataset,Loss,0.1159088439063022
11,2,Test dataset,Jaccard Index,0.9259201601931923
12,3,Train dataset,Loss,0.10129513232925227
13,3,Train dataset,Jaccard Index,0.9345807722795789
14,3,Test dataset,Loss,0.11579137217057378
15,3,Test dataset,Jaccard Index,0.9315390806449088
16,4,Train dataset,Loss,0.08274437657722802
17,4,Train dataset,Jaccard Index,0.946691802728956
18,4,Test dataset,Loss,0.10479541358194853
19,4,Test dataset,Jaccard Index,0.9360037822472421
20,5,Train dataset,Loss,0.06973991985215205
21,5,Train dataset,Jaccard Index,0.9552030802887177
22,5,Test dataset,Loss,0.08680150108902078
23,5,Test dataset,Jaccard Index,0.9462419183630693
24,6,Train dataset,Loss,0.06543172875018878
25,6,Train dataset,Jaccard Index,0.957569336222711
26,6,Test dataset,Loss,0.09361099922343304
27,6,Test dataset,Jaccard Index,0.939010739326477
28,7,Train dataset,Loss,0.05495310881148989
29,7,Train dataset,Jaccard Index,0.9646515595578702
30,7,Test dataset,Loss,0.0669324011786988
31,7,Test dataset,Jaccard Index,0.9575338426389193
32,8,Train dataset,Loss,0.051605565073055644
33,8,Train dataset,Jaccard Index,0.9670602935496891
34,8,Test dataset,Loss,0.07093044860582602
35,8,Test dataset,Jaccard Index,0.9551091601974085
36,9,Train dataset,Loss,0.045834635027518895
37,9,Train dataset,Jaccard Index,0.9707685475037476
38,9,Test dataset,Loss,0.0615470905445124
39,9,Test dataset,Jaccard Index,0.9637135863304138
40,10,Train dataset,Loss,0.03915786666569309
41,10,Train dataset,Jaccard Index,0.9757858403375216
42,10,Test dataset,Loss,0.0547161404239504
43,10,Test dataset,Jaccard Index,0.9682813788715162
44,11,Train dataset,Loss,0.03779850673870506
45,11,Train dataset,Jaccard Index,0.9766935243784824
46,11,Test dataset,Loss,0.09617501595302631
47,11,Test dataset,Jaccard Index,0.9471300903119539
48,12,Train dataset,Loss,0.0470349609016258
49,12,Train dataset,Jaccard Index,0.969342086916772
50,12,Test dataset,Loss,0.06116452597473797
51,12,Test dataset,Jaccard Index,0.9636925960841932
52,13,Train dataset,Loss,0.0361686201470199
53,13,Train dataset,Jaccard Index,0.9774722529348926
54,13,Test dataset,Loss,0.05028231932144416
55,13,Test dataset,Jaccard Index,0.9700788165393629
56,14,Train dataset,Loss,0.031247689919633285
57,14,Train dataset,Jaccard Index,0.9812963671773394
58,14,Test dataset,Loss,0.05682939349820739
59,14,Test dataset,Jaccard Index,0.9664308805214731
